XML-ID,Wikidata_ID,Viaf ID,NHRP ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Country of co=itizenship,Occupation,Instance,Gender,Brief Description
peLanz,,,,JOHANN TRAUGOTT,LANZKY,JOHANN TRAUGOTT LANZKY,1789,1858,1789-1858,,,human,,dansk musiker.
peRoL,Q2166450,80424072,,ROSA,LANZLOTT,ROSA LANZLOTT,1834,1923,1834-1923,Germany,stage actor,human,female,tysk skuespillerinne (DBI 3. utg.).
peSLa,Q12002048,74707285,pf01036392121506,SOPHUS [EDMÉ CONRAD],LARPENT,SOPHUS [EDMÉ CONRAD] LARPENT,1838,1911,1838-1911,Norway,art collector,human,male,norsk kunstsamler og mesen.
peAdoL,Q365448,17962644,,ADOLPH,L’ARRONGE,ADOLPH L’ARRONGE,1838,1908,1838-1908,Germany,screenwriter,human,male,tysk teaterforfatter og teaterdirektør.
peLar,,,,,LARSEN,LARSEN,,,,,,human,,ikke identifisert.
peAnL,,55538305,,ANTON [LAURENTIUS],LARSEN,ANTON [LAURENTIUS] LARSEN,1827,1888,1827-1888,,,human,,norsk publisist.
peAuLa,,,,AUGUST [GOTTLIEB],LARSEN,AUGUST [GOTTLIEB] LARSEN,1843,1906,1843-1906,,,human,,dansk bokhandler.
peEdLa,,,,EDVARD/EDWARD,LARSEN/LARSSEN,EDVARD/EDWARD LARSEN/LARSSEN,1840,1898,1840-1898,,,human,,"norsk journalist, fotograf, forfatter m.m."
peHeLa,,,,HERTHA [VILHELMINE PETREA THEODORA],LARSEN,HERTHA [VILHELMINE PETREA THEODORA] LARSEN,1857,1920,1857-1920,,,human,,dansk bokhandlerhustru.
peKL,Q830489,10006461,,KARL [HALFDAN EDUARD],LARSEN,KARL [HALFDAN EDUARD] LARSEN,1860,1931,1860-1931,Denmark,writer,human,male,dansk forfatter.
peMiL,,,,MIMI (Mathilde Minona Marie),LARSEN,MIMI (Mathilde Minona Marie) LARSEN,1851,1932,1851-1932,,,human,,dansk malerinne.
peNJL,Q5936456,,,NIELS JAKOB,LARSEN,NIELS JAKOB LARSEN,1845,1928,1845-1928,,editor,human,male,dansk politiker og journalist.
peFLas,Q75784,12310979,,FERDINAND,LASSALLE,FERDINAND LASSALLE,1825,1864,1825-1864,Kingdom of Prussia,writer,human,male,tysk filosof og politiker.
peHL,Q5675368,34067703,pf01053272000117,HARTVIG [MARCUS],LASSEN,HARTVIG [MARCUS] LASSEN,1824,1897,1824-1897,Norway,biographer,human,male,norsk litteraturhistoriker og skolemann.
peHLa,Q77470,54243995,,HEINRICH,LAUBE,HEINRICH LAUBE,1806,1884,1806-1884,Germany,writer,human,male,tysk forfatter og teaterleder.
peSL,Q55843144,17982213,,SIGMUND,LAUTENBURG,SIGMUND LAUTENBURG,1852,1918,1852-1918,Austria-Hungary,stage actor,human,male,ungarsk-tysk skuespiller og teaterleder.
peDL,Q5297644,17054844,,DORE (Dorotheus Olivarius),LAVIK,DORE (Dorotheus Olivarius) LAVIK,1863,1908,1863-1908,Norway,actor,human,male,norsk skuespiller og teaterleder.
peWML,,,,WILLIAM M.,LAWRENCE,WILLIAM M. LAWRENCE,1846,1910,1846-1910,,,human,,amerikansk skolemann.
peBL,Q1160355,116318874,,BÉLA,LÁZÁR,BÉLA LÁZÁR,1869,1950,1869-1950,Hungary,contributing editor,human,male,ungarsk forfatter.
peMLaz,Q544428,37040031,,MORITZ,LAZARUS,MORITZ LAZARUS,1824,1903,1824-1903,Germany,psychologist,human,male,tysk filosof.
peMLea,,,,MARION,LEA,MARION LEA,1861,1944,1861-1944,,,human,,"amerikansk skuespillerinne (Kane [2007], 5)."
peACEL,Q243068,2545083,,ANNE CHARLOTTE (Anna Charlotta Gustava) [EDGREN],LEFFLER,ANNE CHARLOTTE (Anna Charlotta Gustava) [EDGREN] LEFFLER,1849,1892,1849-1892,Sweden,writer,human,female,svensk forfatterinne.
pePMOL,Q1396659,45104645,,[PETER MARTIN] ORLA,LEHMANN,[PETER MARTIN] ORLA LEHMANN,1810,1870,1810-1870,Denmark,politician,human,male,dansk politiker.
peJuLe,Q197935,56625290,,[FRANÇOIS ÉLIE] JULES,LEMAÎTRE,[FRANÇOIS ÉLIE] JULES LEMAÎTRE,1853,1914,1853-1914,France,writer,human,male,fransk forfatter og kritiker.
peLST,Q1361139,12523007,,LOUIS SÉBASTIEN,LE NAIN DE TILLEMONT,LOUIS SÉBASTIEN LE NAIN DE TILLEMONT,1637,1698,1637-1698,France,historian,human,male,fransk kirkehistoriker.
peRLe,Q318738,74663042,,REINHOLD,LEPSIUS,REINHOLD LEPSIUS,1857,1922,1857-1922,Germany,painter,human,male,tysk portrettmaler.
peCALe,Q12305822,41402650,,CHRISTIAN ALBRECHT [GREV],LERCHE,CHRISTIAN ALBRECHT [GREV] LERCHE,1830,1885,1830-1885,Denmark,politician,human,male,dansk greve.
peMJL,Q46599,14772733,,MIKHAIL [JURJEVITSJ],LERMONTOV,MIKHAIL [JURJEVITSJ] LERMONTOV,1814,1841,1814-1841,Russian Empire,writer,human,male,russisk forfatter.
peTLe,Q362340,32262032,,THEODOR,LESCHETIZKY,THEODOR LESCHETIZKY,1831,1915,1831-1915,Poland,composer,human,male,polsk klaverspiller og lærer.
peMLe,,,,MAX,LESSER,MAX LESSER,,,,,,human,,tysk forfatter.
peGEL,Q34628,9849550,,GOTTHOLD EPHRAIM,LESSING,GOTTHOLD EPHRAIM LESSING,1729,1781,1729-1781,Germany,writer,human,male,tysk litteraturkritiker og forfatter.
peOL,Q668328,51812777,,OSCAR [IVAR],LEVERTIN,OSCAR [IVAR] LEVERTIN,1862,1906,1862-1906,Sweden,writer,human,male,"svensk litteraturhistoriker, kritiker og forfatter."
peLevi,,,,,LEVI,LEVI,,,,,,human,,"far til Julie Levi, svigerfar til Julius Elias. "
peHLe,Q61175,10643494,,HERMANN,LEVI,HERMANN LEVI,1839,1900,1839-1900,Germany,composer,human,male,tysk dirigent.
peGHL,Q1275943,5017038,,GEORGE HENRY,LEWES,GEORGE HENRY LEWES,1817,1878,1817-1878,United Kingdom of Great Britain and Ireland,writer,human,male,engelsk forfatter.
peJLe,Q1707508,30301238,,JOSEF,LEWINSKY,JOSEF LEWINSKY,1835,1907,1835-1907,Austria,actor,human,male,østerriksk skuespiller.
peCLL,,,,CARL [LUDVIG],LIE,CARL [LUDVIG] LIE,1830,1912,1830-1912,,,human,,norsk dommer.
peElLie,,,,ELISABETH,LIE,ELISABETH LIE,1876,1958,1876-1958,,,human,,norsk offisershustru.
peELie,Q1782989,33099151,pf01036374000890,ERIK [RØRING MØINICHEN],LIE,ERIK [RØRING MØINICHEN] LIE,1868,1943,1868-1943,Norway,writer,human,male,norsk forfatter.
peJEL,Q73116903,349148995981259751935,pf01036422004313,JOHANNE [ELEONORE] («Lubben»),LIE,JOHANNE [ELEONORE] («Lubben») LIE,1870,1944,1870-1944,Norway,writer,human,female,norsk skuespillerinne.
peJLi,Q469681,59124011,pf01052055000682,JONAS [LAURITZ IDEMIL],LIE,JONAS [LAURITZ IDEMIL] LIE,1833,1908,1833-1908,Norway,writer,human,male,norsk advokat og forfatter.
peMBL,,,,MARIE [BIRGITTE],LIE,MARIE [BIRGITTE] LIE,1839,1918,1839-1918,,,human,,norsk dommerhustru.
peMaLie,,,,MARY [HELENE],LIE,MARY [HELENE] LIE,1875,1913,1875-1913,,,human,,norsk pianistinne.
peMiLi,Q6834673,,pf01037130002621,MICHAEL STRØM,LIE,MICHAEL STRØM LIE,1862,1934,1862-1934,Norway,diplomat,human,male,norsk sendemann.
peMLi,Q4992653,289538332,,MONS,LIE,MONS LIE,1864,1931,1864-1931,Norway,writer,human,male,norsk forfatter.
peMSL,Q30769,17254253,pf01053257050345,[MARIUS] SOPHUS,LIE,[MARIUS] SOPHUS LIE,1842,1899,1842-1899,Norway,mathematician,human,male,norsk matematiker.
peTHL,Q17119922,,pf01038029000397,THOMASINE [HENRIETTE],LIE,THOMASINE [HENRIETTE] LIE,1833,1907,1833-1907,Norway,,human,female,norsk forfatterhustru.
peFLL,Q4994170,18309250,,FREDERIK LUDVIG,LIEBENBERG,FREDERIK LUDVIG LIEBENBERG,1810,1894,1810-1894,Denmark,autobiographer,human,male,dansk litterat.
peJDCL,Q2578997,59850287,,JENS [DANIEL CAROLUS],LIEBLEIN,JENS [DANIEL CAROLUS] LIEBLEIN,1827,1911,1827-1911,Norway,egyptologist,human,male,norsk egyptolog.
peHeL,,,,HEDEVALL [ORDING],LIEUNGH [lyng],HEDEVALL [ORDING] LIEUNGH [lyng],1828,1893,1828-1893,,,human,,norsk apotekmedhjelper og telegrafrevisor.
pePL,,,,POUL [DOROTHEUS WINTHER],LIEUNGH [lyng],POUL [DOROTHEUS WINTHER] LIEUNGH [lyng],1827,,1827-,,,human,,norsk handelsborger.
peELil,Q3051749,,,ELSA,LILLIEHÖÖK,ELSA LILLIEHÖÖK,1877,1951,1877-1951,Sweden,tennis player,human,female,svensk tennisspiller.
peEBL,Q19976164,,,ERIC BERTILSON,LILLIEHÖÖK,ERIC BERTILSON LILLIEHÖÖK,1870,1952,1870-1952,,military personnel,human,male,svensk offiser og møbelarkitekt.
peCAL,Q5952541,,,CARL ABRAHAM,LIMNELL,CARL ABRAHAM LIMNELL,1825,1882,1825-1882,Sweden,,human,male,svensk embetsmann.
peFL,Q4962236,795147266577735480119,,[CATHARINA] FREDRIKA,LIMNELL,[CATHARINA] FREDRIKA LIMNELL,1816,1892,1816-1892,Sweden,salonnière,human,female,"svensk embetsmannshustru, salongvertinne og kvinnesaksforkjemper."
peLin,,,,LINA,,LINA,,,,,,human,,ikke identifisert.
pePLi,Q86886,68968459,,PAUL,LINDAU,PAUL LINDAU,1839,1919,1839-1919,Germany,screenwriter,human,male,"tysk teaterleder, forfatter og journalist."
peAL,Q5953385,12285573,,[JOHAN] AUGUST,LINDBERG,[JOHAN] AUGUST LINDBERG,1846,1916,1846-1916,Sweden,actor,human,male,svensk skuespiller og teaterleder.
peAWLin,Q4962366,,,AUGUSTA [WILHELMINA],LINDBERG,AUGUSTA [WILHELMINA] LINDBERG,1866,1943,1866-1943,Sweden,actor,human,female,svensk skuespillerinne.
peJaL,Q1677564,221322037,pf01053073022676,JACOB [ALBERT],LINDBOE,JACOB [ALBERT] LINDBOE,1843,1902,1843-1902,Norway,judge,human,male,norsk jurist og politiker.
peALi,Q12300016,,,ANDREAS [CONRAD PUTSCHER],LINDE,ANDREAS [CONRAD PUTSCHER] LINDE,1814,1888,1814-1888,Denmark,civil servant,human,male,dansk embetsmann.
